source	korean	speaker	context	note
試練の森（サバイバルモード）へ向かいますか？\n（※入場時、一時的に回復アイテム等が使用不可になります）	시련의 숲(서바이벌 모드)으로 향할까요?\n(※ 입장 시 회복 아이템 등을 일시적으로 사용할 수 없습니다)	システム	prompt	survival mode prompt; token preserved
挑戦する	도전한다	PLAYER	choice	survival mode
記録を見る	기록 보기	PLAYER	choice	survival mode
◆ サバイバルモード記録 ◆\n自己ベスト: {survivalHighScore} pt\n\n（さらに記録を伸ばそう！）	◆ 서바이벌 모드 기록 ◆\n개인 최고: {survivalHighScore} pt\n\n(기록을 더 늘려 보자!)	システム	status	survival record; placeholder preserved
狩猟場はここから右（→）と書いてある…	사냥터는 여기서 오른쪽(→)이라고 쓰여 있다…	看板	sign	stage sign
お？石炭か？\nまぁ、燃料はいくらあっても困らんからな。ありがとよ。	오? 석탄인가?\n뭐, 연료는 아무리 있어도 곤란할 일은 없으니까. 고맙다.	タガン	gift	gift response
おぉっ！これは見事な金剛砥石じゃないか！\nいい目を持ってるな！こいつで研げば刃物の切れ味も段違いだ！	오오! 이거 훌륭한 금강 숫돌 아니냐!\n눈썰미가 좋구나! 이걸로 갈면 칼날의 예리함도 차원이 다르겠어!	タガン	gift	gift response
なっ……！？こ、これは「神代の真鉄」！？\n国宝級の素材だぞ！？本気でこれを譲ってくれるのか！？\nあ、ありがとう！！家宝にするぞ！！	뭐……!? 이, 이건 "신대의 진철"이잖아!?\n국보급 소재라고!? 정말 이걸 넘겨주겠다는 거냐!?\n고, 고맙다!! 가보로 삼으마!!	タガン	gift	gift response; name preserved
獣脂か？気が利くな。\nブーツや弓の手入れに丁度欲しかったんだ。助かるよ。	짐승 기름인가? 센스 있네.\n부츠나 활을 손질하는 데 마침 필요했거든. 도움이 됐어.	アルバルト	gift	gift response
こ、これは疾風鳥の尾羽か！？\nすげぇ…これを使えば矢の射程が倍は伸びるぞ！\nいいのか？ありがとうな！	이, 이건 질풍조의 꼬리깃인가!?\n대단한데… 이걸 쓰면 화살 사거리가 두 배는 늘 거야!\n정말 괜찮냐? 고맙다!	アルバルト	gift	gift response
お前…これは「千年樹の心材」じゃないか！？\n伝説の弓素材だぞ…震えが止まらねぇよ…。\nこんな凄いもの、本当にいいのか？感謝してもしきれねぇ！	너… 이건 "천년수의 심재"잖아!?\n전설의 활 소재라고… 떨림이 멈추질 않네….\n이렇게 대단한 걸 정말 받아도 돼? 고마워도 다 못 갚겠다!	アルバルト	gift	gift response; name preserved
…綺麗な綿毛だ。\n生まれたばかりの子たちのベッドに丁度いい。\nありがとう…あの子たちも喜ぶだろう。	…예쁜 솜털이네.\n갓 태어난 아이들의 침대에 딱 좋겠어.\n고마워… 그 아이들도 기뻐할 거야.	ソディオ	gift	gift response
…！琥珀の蜜蝋か。\nこれがあれば乾燥しがちな子たちの肌を守ってやれる。\n助かる、ありがとう。	…! 호박 밀랍이구나.\n이게 있으면 건조해지기 쉬운 아이들의 피부를 지켜 줄 수 있어.\n도움이 되겠어, 고마워.	ソディオ	gift	gift response
……これは、聖樹の完熟果実か…！？\nどんなに弱った子でも元気になれる奇跡の果実だ。\n感謝する…！これで救える命がある。	……이건 성수의 완숙 과실인가…!?\n아무리 약해진 아이라도 기운을 되찾게 해 주는 기적의 열매야.\n고마워…! 이걸로 구할 수 있는 생명이 있어.	ソディオ	gift	gift response
（渡せるものがないようだ…）	(건넬 수 있는 물건이 없는 것 같다…)	システム	gift	system message
KILL数表示	KILL 수 표시		UI/options	kill count display label
