source	korean	speaker	context	note
……不思議なもんだ。男の身体なんざ、見飽きるほど見てきたはずなのによ。\nお前に触られると、どうも調子が狂うな……。	……이상한 일이야. 남자 몸 따위는 질릴 만큼 봤을 텐데 말이지.\n네가 만지면 어째 페이스가 흐트러진단 말이야……	タガン	dialogue	adult event after
……おい、こっちへ来い。……もう少し、その……。お前の顔を近くで見せておけ	……어이, 이리 와라. ……조금만 더, 그…… 네 얼굴을 가까이 보여 둬라.	タガン	dialogue	adult event after
（タガンはその大きな手で引き寄せると、乱暴に頭を撫でる）	(타간은 커다란 손으로 끌어당기더니 거칠게 머리를 쓰다듬었다)	タガン	narration	adult event after
言っておくが、俺は別に『そっち』に目覚めたわけじゃねぇぞ？\nお前が面白いから、こうして相手をしてやってるだけだ	말해 두지만, 내가 딱히 '그쪽'에 눈뜬 건 아니다.\n네가 재미있으니 이렇게 상대해 주는 것뿐이야.	タガン	dialogue	adult event after
だがよ……お前のおかげで、退屈だった商売の日々に、とんでもねぇ刺激が加わっちまった。\n……こんな面白い体験、もう手放せねぇな	하지만 말이다…… 네 덕분에 지루하던 장사판 나날에 터무니없는 자극이 끼어들었어.\n……이렇게 재미있는 경험, 이제 놓치긴 아깝군.	タガン	dialogue	adult event after
気が向いたら、またこうして俺を驚かせてみろ。その時は、もう少し高くつくからな？（笑）	내키면 또 이렇게 나를 놀라게 해 봐라. 그때는 조금 더 비싸게 받을 테니 말이야. 하하.	タガン	dialogue	adult event after
タガンとの会話	타간과의 대화	タガン	event title	gallery/event
タガンとの時間	타간과의 시간	タガン	event title	gallery/event
予想以上に無茶苦茶な夜	예상보다 더 엉망진창인 밤	タガン	event title	gallery/event
タガンの勲章	타간의 훈장	タガン	item	medal
大商人の証。獲得ゴールドが+10%される。	대상인의 증표. 획득 골드가 +10% 오른다.	タガン	item	medal description
古代の遺跡から見つかる伝説の金属。タガンへのプレゼントに使えそうだ。	고대 유적에서 발견되는 전설의 금속. 타간에게 선물할 수 있을 것 같다.	タガン	item	gift description
日常の火床に欠かせない良質な燃料。タガンへのプレゼントに使えそうだ。	일상 화덕에 꼭 필요한 양질의 연료. 타간에게 선물할 수 있을 것 같다.	タガン	item	gift description
研磨の仕上げに使う最高級の素材。タガンへのプレゼントに使えそうだ。	연마 마무리에 쓰는 최고급 소재. 타간에게 선물할 수 있을 것 같다.	タガン	item	gift description
神代の真鉄	신대의 진철	タガン	item	gift item
不純物の少ない石炭	불순물이 적은 석탄	タガン	item	gift item
琥珀の蜜蝋	호박 밀랍	タガン	item	gift item
