source	korean	speaker	context	note
もごっもごもごっもごご…	우물, 우물우물우물…	アルバルト	choice	유적 이벤트 선택지
……。（あっ、感覚が無いわりには先走りが出てきたぞ…？）	……(앗, 감각이 없다더니 쿠퍼액이 나오기 시작했네…?)	アルバルト	choice	유적 이벤트 선택지; 성인 묘사 과장 억제
ある	있어	アルバルト	choice	유적 이벤트 선택지
ない	없어	アルバルト	choice	유적 이벤트 선택지
狩猟の森へ	사냥의 숲으로	アルバルト	stage choice	알베르트 관련 사냥터
狩猟の森	사냥의 숲	アルバルト	stage	알베르트 관련 지역
狩猟者の小屋	사냥꾼의 오두막	アルバルト	location	알베르트 거점
狩猟ブーメラン	사냥 부메랑	アルバルト	item	사냥꾼 계열 장비
ブーツや弓の弦に塗るメンテナンス素材。アルバルトへのプレゼントに使えそうだ。	부츠나 활시위에 바르는 관리 소재. 알베르트에게 선물할 수 있을 것 같다.	アルバルト	item description	선물 설명
非常に軽く強靭な羽。アルバルトへのプレゼントに使えそうだ。	매우 가볍고 질긴 깃털. 알베르트에게 선물할 수 있을 것 같다.	アルバルト	item description	선물 설명
魔法を帯びた巨樹の最も硬い中心部。アルバルトへのプレゼントに使えそうだ。	마법을 머금은 거목의 가장 단단한 중심부. 알베르트에게 선물할 수 있을 것 같다.	アルバルト	item description	선물 설명
間一髪だったな！\n間に合ってよかった！	아슬아슬했네!\n늦지 않아서 다행이다!	アルバルト	affinity repeat 0-19	반복 친밀도 대사
気をつけろよ…	조심해라…	アルバルト	affinity repeat 20-39	반복 친밀도 대사
まったく…いわんこっちゃない	정말이지… 내가 뭐랬냐	アルバルト	affinity repeat 40-59	반복 친밀도 대사
…あんま、心配させんなよ…	…너무 걱정시키지 마라…	アルバルト	affinity repeat 60-79	반복 친밀도 대사
…いい加減にしろよ	…이쯤 해 둬라	アルバルト	affinity repeat 80-99	반복 친밀도 대사
ずっと一緒だぜ、相棒！	계속 함께다, 파트너!	アルバルト	affinity repeat 100+	相棒=파트너
お前には俺がついてないとだめだな…	너한텐 내가 붙어 있어야겠네…	アルバルト	max affinity scenario	성인 이벤트 도입
お前は俺のことどう思ってるんだ？	너는 나를 어떻게 생각하냐?	アルバルト	max affinity scenario	성인 이벤트 도입
俺はお前のこと…嫌いじゃないぜ…	나는 너를… 싫어하지 않아…	アルバルト	max affinity scenario	성인 이벤트 도입
これがその証拠だ…！	이게 그 증거다…!	アルバルト	max affinity scenario	성인 이벤트 도입
これからもよろしくな…！	앞으로도 잘 부탁한다…!	アルバルト	max affinity scenario	성인 이벤트 마무리
お、見ない顔だな？この狩場は初めてか？	오, 못 보던 얼굴이네? 이 사냥터는 처음이냐?	アルバルト	first meeting	첫 만남
狩人同士、お互い様だ、分からないことがあったら何でも聞いてくれよな？	사냥꾼끼리는 서로 돕는 거지. 모르는 게 있으면 뭐든 물어봐라.	アルバルト	first meeting	보호자 톤
よぉ、調子はどうだ？	여어, 컨디션은 어때?	アルバルト	greeting	일상 대사
何か聞きたいことがあったら遠慮するなよ？	궁금한 게 있으면 사양하지 말고 물어봐라.	アルバルト	greeting	일상 대사
そうか？何かあったら遠慮なく言えよ！	그래? 무슨 일 있으면 사양 말고 말해라!	アルバルト	greeting	일상 대사
おう、困ったことがあったらまた声をかけてくれ。\n無茶はするなよ！	그래, 곤란한 일이 있으면 또 불러라.\n무리는 하지 말고!	アルバルト	greeting	보호자 톤
大丈夫か？最近の獲物は数が異常に多いからな…	괜찮냐? 요즘 사냥감 수가 이상할 정도로 많으니까…	アルバルト	greeting	위험 경고
念のため、商人のおっさんから「帰還の巻物」買っておくといいぞ！	만일을 대비해서 상인 아저씨한테 "귀환의 두루마리"를 사 두는 게 좋아!	アルバルト	greeting	아이템 조언
おっ、もしかして何か頼みたいことでもあるのか？[wait:0.5]いいぜ！ お前の頼みなら何でも聞いてやる！	오, 혹시 부탁할 거라도 있냐?[wait:0.5] 좋아! 네 부탁이라면 뭐든 들어주마!	アルバルト	affinity request	토큰 보존
あちこちで助けられっぱなしだったからな。俺にできることなら、なんだって言ってくれ！	여기저기서 도움만 받았으니까. 내가 할 수 있는 거라면 뭐든 말해라!	アルバルト	affinity request	은혜 갚기
エッチか！ いいぜ！[wait:1.0]	하는 거냐! 좋아![wait:1.0]	アルバルト	affinity request	성인 선택 수락
……ん？[wait:0.5]エッチ？[wait:0.5]……エッジの聞き間違いか？ 弓のメンテナンスか何かか？	……응?[wait:0.5] 한다고?[wait:0.5] ……엣지라고 잘못 들은 건가? 활 손질 같은 거냐?	アルバルト	affinity request	말장난은 자연화
…………。[wait:1.5]聞き間違え、じゃないんだな？	…………。[wait:1.5]잘못 들은 게 아니구나?	アルバルト	affinity request	토큰 보존
……はは、まいったな。まさかそんな言葉が飛んでくるとは思わなかったぜ……。	……하하, 난감하네. 설마 그런 말이 나올 줄은 몰랐다……	アルバルト	affinity request	당황
（アルバルトは頭を掻き、視線を泳がせるが、やがて覚悟を決めたように主人公を真っ直ぐ見つめる）	(알베르트는 머리를 긁적이며 시선을 피하다가, 이윽고 각오한 듯 주인공을 똑바로 바라본다.)	アルバルト	narration	성인 이벤트
……あー、男に二言はねぇ。[wait:0.5]いいぜ、お前が満足するのが俺も本望だしな……。	……아, 남자가 한입으로 두말할 순 없지.[wait:0.5] 좋아, 네가 만족한다면 나도 바라는 바다……	アルバルト	affinity request	성인 이벤트
ただ、俺は男とは初めてだから何していいか分からないぞ？ 俺は何をすればいいんだ？	다만, 남자와는 처음이라 뭘 해야 할지 모르겠다. 나는 뭘 하면 되지?	アルバルト	affinity request	성인 이벤트
（少し軋む音を立てて、アルバルトがベッドに腰を下ろす）	(살짝 삐걱이는 소리를 내며 알베르트가 침대에 걸터앉는다.)	アルバルト	narration	성인 이벤트
……受け手、か。……そうか、なるほどな。お前が俺の中に入れる。ってことだろ？	……받는 쪽이라. ……그래, 알겠다. 네가 내 안에 들어온다는 거지?	アルバルト	max event	성인 이벤트
いいぜ。……ああ、いいって。……ほら、そんな心配そうな顔すんなよ。	좋아. ……그래, 괜찮다니까. ……자, 그렇게 걱정스러운 얼굴 하지 마라.	アルバルト	max event	보호자 톤 유지
お前への恩義に比べたら。今さら身体のひとつやふたつ、どう使われたって文句はねぇよ。	너한테 진 빚에 비하면, 이제 와 몸 하나쯤 어떻게 쓰이든 불평할 생각은 없어.	アルバルト	max event	성인 이벤트
それに俺だって不思議と胸が高鳴っているしな…	게다가 나도 이상하게 가슴이 뛰고 있고 말이지…	アルバルト	max event	당황
（アルバルトはゆっくりと上着を脱ぎ、たくましい胸を晒して仰向けに横たわる）	(알베르트는 천천히 상의를 벗고, 단단한 가슴을 드러낸 채 반듯이 눕는다.)	アルバルト	narration	성인 이벤트
……お前の手、あったけぇな。……心臓の音がうるさくて、まいっちまう。……お前にも、響いてるか？ これ。	……네 손, 따뜻하네. ……심장 소리가 시끄러워서 미치겠다. ……너한테도 들리냐, 이거.	アルバルト	max event	어색한 애정
……笑うなよ。俺だって、必死なんだ。……お前の目に、俺はどう映ってる？ ……情けねぇ顔してねぇか？	……웃지 마라. 나도 필사적이라고. ……네 눈에 나는 어떻게 보이냐? ……한심한 얼굴은 아니지?	アルバルト	max event	당황
……『すごい弾力』、か。……へへっ、悪い気はしねぇな…。	……"엄청난 탄력"이라. ……헤헷, 나쁘진 않네…	アルバルト	max event	사막 이벤트 회수
……っ、ん……くっ。……やめろ、そんな、首筋に息を……っ。	……읏, 응……큭. ……그만, 그런 식으로 목덜미에 숨을……	アルバルト	max event	성인 이벤트
……あー、クソっ。……なんだこれ。……身体の芯が、熱くなってきやがった……。	……아, 젠장. ……뭐냐 이거. ……몸속 깊은 데가 뜨거워지기 시작했어……	アルバルト	max event	성인 이벤트
……お前が、そんな風に俺を求めてくれるから……俺の身体まで、勝手に反応しちまってるじゃねぇか……。	……네가 그런 식으로 나를 원하니까…… 내 몸까지 멋대로 반응해 버리잖아……	アルバルト	max event	성인 이벤트
あ、……っ、あぁ……！！	아, ……읏, 아아……!!	アルバルト	max event	성인 이벤트
……お前……っ、はぁ、はぁ……！	……너…… 하아, 하아……!	アルバルト	max event	성인 이벤트
……不思議だな。……男の、ものなのに……。お前が中にいると思うと……なんだか、すごく……満たされてる感じがするんだ……。	……이상하네. ……남자의 것인데도……. 네가 안에 있다고 생각하니…… 왠지, 굉장히…… 채워지는 느낌이 든다……	アルバルト	max event	성인 이벤트 과장 억제
……っ、く……！ 待て、そこ、……っ、変な感じが……！ あぁっ、……お前、……優しすぎ、だぜ……。	……큭……! 잠깐, 거기, ……이상한 느낌이……! 아앗, ……너, ……너무 다정하잖아……	アルバルト	max event	성인 이벤트
あっ…！くっ！！なんだ…！？押し出される…っ！？	앗…! 큭!! 뭐야…!? 밀려 나오는 것 같아…!?	アルバルト	max event	성인 이벤트
あっ！あっ！ああぁぁあぁぁっっっ！！	앗! 아앗! 아아아아앗!!	アルバルト	max event	성인 이벤트
はっ…！はっ…！はぁっ…！え…？俺？射精したのか…？	하앗…! 하앗…! 하아…! 어…? 내가? 사정한 건가…?	アルバルト	max event	성인 이벤트
嘘だろ…触ってもねぇのに…？こんなことありえるのか…？	말도 안 돼… 건드리지도 않았는데…? 이런 일이 있을 수 있나…?	アルバルト	max event	성인 이벤트
…頭飛びそうになるぐらい気持ちよかったぜ…	…머리가 날아갈 것 같을 만큼 좋았어…	アルバルト	max event	성인 이벤트
……はは、……参った。……腰が抜けて、これじゃ明日、森に行けねぇかもな……。	……하하, ……졌네. ……허리에 힘이 풀려서, 이래선 내일 숲에 못 갈지도 모르겠다……	アルバルト	max event	성인 이벤트
……なぁ。……お前, 満足できたか？ ……少しは、借りを返せたかな。	……있잖아. ……너, 만족했냐? ……조금은 빚을 갚은 걸까.	アルバルト	max event	원문 쉼표 보존
……なら、良かった。[wait:0.5]……身体を張った甲斐があったってもんだ。	……그럼 됐다.[wait:0.5] ……몸을 내던진 보람이 있었네.	アルバルト	max event	토큰 보존
（アルバルトは主人公を太い腕で引き寄せ、その頭を優しく撫でる）	(알베르트는 굵은 팔로 주인공을 끌어안고, 머리를 다정하게 쓰다듬는다.)	アルバルト	narration	성인 이벤트
……勘違いすんなよ？ こういうのは、お前が相手だからだぜ。……お前は、俺にとって……ただの後輩以上に、大切な相棒なんだからな。	……오해하지 마라. 이런 건 상대가 너라서야. ……너는 나한테…… 그냥 후배 이상으로 소중한 파트너니까.	アルバルト	max event	相棒=파트너
……さあ、少し休んだら、また明日からよろしく……な？ 相棒。	……자, 조금 쉬고 나면 내일부터 또 잘 부탁한다…… 알겠지? 파트너.	アルバルト	max event	相棒=파트너
ここは危険な森への入口に一番近い拠点さ。\n多くの狩人がここを拠点にしているんだ。	여긴 위험한 숲 입구에서 가장 가까운 거점이야.\n많은 사냥꾼들이 여기를 거점으로 삼고 있지.	アルバルト	location talk	줄바꿈 보존
あの商人、タガンのおっさんには気をつけろよ。\n悪い奴じゃないが、金にはうるさいからな。	저 상인, 타간 아저씨는 조심해라.\n나쁜 사람은 아니지만 돈에는 깐깐하거든.	アルバルト	location talk	타간 호칭
俺たちは弓を使う狩人だ。\n距離を取って戦うのが基本戦略になるな。	우리는 활을 쓰는 사냥꾼이다.\n거리를 두고 싸우는 게 기본 전략이지.	アルバルト	hunting advice	전투 조언
もちろん今のままじゃ移動しながらだと矢は撃てねぇ\nそんなのは達人の手法だ	물론 지금 상태로는 움직이면서 화살을 쏠 수 없어.\n그건 달인의 방식이지.	アルバルト	hunting advice	전투 조언
俺たち狩人は茂みを移動しながら迎え撃つのが基本だ\n茂みに入ると敵の弱点を狙いやすくなるからな！	우리 사냥꾼은 덤불을 타고 움직이며 맞받아치는 게 기본이다.\n덤불에 들어가면 적의 약점을 노리기 쉬워지거든!	アルバルト	hunting advice	전투 조언
街の店で装備を整えたり、\nスキルを習得するのも忘れずにな！	마을 가게에서 장비를 갖추고,\n스킬을 익히는 것도 잊지 마라!	アルバルト	hunting advice	전투 조언
俺のこと？いいぜ、何が聞きたい？	내 얘기? 좋아, 뭐가 듣고 싶냐?	アルバルト	about Alvart	개인 대화
今年で24になる。\nこの界隈はもう6年ぐらいだな。	올해로 스물넷이다.\n이 근방에는 벌써 6년쯤 있었지.	アルバルト	about Alvart	나이
故郷に両親と妹がいるんだ。\nこっちで稼いで仕送りしてるのさ。	고향에는 부모님과 여동생이 있어.\n여기서 벌어서 보내 주고 있지.	アルバルト	about Alvart	가족
はぁ？チンポの大きさ…？\n何言ってんだお前、何の冗談だ？	뭐? 자지 크기…?\n무슨 소리 하는 거냐, 무슨 농담이야?	アルバルト	about Alvart	성인 질문
ま、言っておくが！\n俺のチンポはこのボウガンに負けず劣らずのデカさでな！	뭐, 말해 두자면!\n내 자지는 이 보우건에 지지 않을 만큼 크다고!	アルバルト	about Alvart	성인 질문
正直、なかなか入る相手がいなくて困ってる\n…ってところだな！	솔직히, 받아낼 상대가 좀처럼 없어서 곤란해.\n…그런 정도지!	アルバルト	about Alvart	성인 질문 완화
……そっちから聞いてきたんだろ…。\n何だ？何か試されてるのか？俺？	……네가 먼저 물어봤잖아….\n뭐냐? 나 시험당하는 거냐?	アルバルト	about Alvart	당황
……おっ？お前がもってるそれ…？もしかして！？	……어? 네가 들고 있는 그거…? 설마!?	アルバルト	blue orb event	이벤트 도입
マジかよ！これ「蒼の宝珠」じゃないか！？お宝だぞ！？	진짜냐! 이거 "푸른 보주"잖아!? 보물이라고!?	アルバルト	blue orb event	아이템명
初めて見たぜ！もっとよく見せてくれよ！	처음 봤어! 좀 더 자세히 보여 줘!	アルバルト	blue orb event	이벤트
[se:se_break]…あっ！？	[se:se_break]…앗!?	アルバルト	blue orb event	토큰 보존
はぁ…[wait:0.5]はぁ…[wait:0.5]助かった…[wait]	하아…[wait:0.5]하아…[wait:0.5]살았다…[wait]	アルバルト	blue orb event	토큰 보존
予備の服もあってよかったぜ…	예비 옷도 있어서 다행이네…	アルバルト	blue orb event	이벤트
それはそうと, お前の持ってたのは「ボススライムのコア」だったみたいだな…[wait]\nあんなデカいのは俺も初めて見たぜ…	그건 그렇고, 네가 갖고 있던 건 "보스 슬라임의 코어"였던 모양이다…[wait]\n나도 그렇게 큰 건 처음 봤어…	アルバルト	blue orb event	원문 쉼표 및 토큰 보존
服だけ溶かすから、一部の貴族に高値で売れるのは間違いないんだが…[wait:0.5]すまん…	옷만 녹이니까 일부 귀족에게는 비싸게 팔릴 게 분명하지만…[wait:0.5]미안하다…	アルバルト	blue orb event	성인 뉘앙스 과장 억제
…[wait:0.5]なんで迷惑かけた俺に、お前が感謝してるのかはよく分らんが…。	…[wait:0.5]폐를 끼친 건 난데 왜 네가 고마워하는지는 잘 모르겠지만….	アルバルト	blue orb event	토큰 보존
コアを割っておいて弁償もしないなんて、俺の気が済まない！	코어를 깨 놓고 변상도 안 하면 내 마음이 편치 않아!	アルバルト	blue orb event	이벤트
今度、ちゃんと埋め合わせはするからな！	다음에 제대로 갚을 테니까!	アルバルト	blue orb event	은혜 갚기
よぉ！[wait:0.5]なんだか騒がしいと思ったら、\nお前も来てたんだな！？	여어![wait:0.5]어쩐지 소란스럽다 했더니,\n너도 와 있었구나!?	アルバルト	desert clear	토큰/줄바꿈 보존
俺も今日はこっちで狩りをしてたんだが……[wait:0.5]この暑さだろ？\n結局、水浴びしに来た感じになっちまったよ	나도 오늘은 이쪽에서 사냥하고 있었는데……[wait:0.5]이 더위잖아?\n결국 물놀이하러 온 꼴이 됐네.	アルバルト	desert clear	토큰/줄바꿈 보존
そんなところで突っ立ってないで、お前もどうだ？\n気持ちいいぜ！	거기 멍하니 서 있지 말고, 너도 어때?\n시원해서 좋다!	アルバルト	desert clear	권유
……あ、おい！[wait:0.5]そこは急に深くなってるから気をつけ――	……아, 야![wait:0.5]거긴 갑자기 깊어지니까 조심――	アルバルト	desert clear	토큰 보존
――ッ！？[wait:0.5]危ねぇ！	――읏!?[wait:0.5]위험해!	アルバルト	desert clear	토큰 보존
ッ……！？[wait:0.5]……ってお前、大丈夫か！？	읏……!?[wait:0.5]……너, 괜찮냐!?	アルバルト	desert clear	보호자 톤
おい、しっかりしろ！[wait:0.5]意識はあるか？\n……あぁ、気絶はしてないみたいだな	야, 정신 차려![wait:0.5]의식은 있냐?\n……그래, 기절한 건 아닌 것 같네.	アルバルト	desert clear	토큰/줄바꿈 보존
……ん？\nどうした？[wait:0.5]どこか打ったのか、動けないのか？	……응?\n왜 그래?[wait:0.5]어디 부딪혔냐, 못 움직이겠어?	アルバルト	desert clear	토큰/줄바꿈 보존
えっ？[wait:0.5]そうじゃない……？\nじゃあなんだ、どこか痛むのか？	뭐?[wait:0.5]그게 아니라고……?\n그럼 뭐야, 어디 아픈 거냐?	アルバルト	desert clear	토큰/줄바꿈 보존
……そんなに一生懸命、頭と口を動かして、\n何か伝えたいことでもあるのか？	……그렇게 열심히 머리랑 입을 움직이는 걸 보니,\n뭔가 전하고 싶은 거라도 있냐?	アルバルト	desert clear	상황 대사
……はぁ？[wait:0.5]『すごい弾力』？[wait:0.5]何の話だ？	……뭐?[wait:0.5]"엄청난 탄력"?[wait:0.5]무슨 소리야?	アルバルト	desert clear	토큰 보존
いいから！[wait:0.5]とりあえず起こしてやるから、\n大人しくしてろ。な？	됐으니까![wait:0.5]일단 일으켜 줄 테니,\n얌전히 있어라. 알겠지?	アルバルト	desert clear	보호자 톤
ふぅ～、[wait:0.5]ったく、何事かと思ったぜ……	후우, [wait:0.5]정말이지, 무슨 일인가 했다……	アルバルト	desert clear	토큰 보존
急にふらついたのは、やっぱり暑さで眩暈がしたんだろ？\nもし調子が悪かったら無理はすんなよ	갑자기 휘청인 건 역시 더위 때문에 어지러웠던 거지?\n몸 상태가 안 좋으면 무리하지 마라.	アルバルト	desert clear	보호자 톤
俺の目の前で、お前に怪我なんかされたら、\n寝覚めが悪いからな！	내 눈앞에서 네가 다치기라도 하면,\n두고두고 마음에 걸리니까!	アルバルト	desert clear	보호자 톤
……き、奇遇だな…こんなところでも会うなんてな	……기, 기묘한 우연이네… 이런 곳에서도 만나다니.	アルバルト	ruins clear	당황
いやぁ、古代遺跡だろ？色々と探索してたら足元がお留守になってさ…\nこのありさまなんだ	아니, 고대 유적이잖아? 이것저것 살피다 보니 발밑을 놓쳐서…\n이 꼴이 된 거야.	アルバルト	ruins clear	줄바꿈 보존
特殊な仕掛けなのか抜けないし…感触？が無くて心配になってきてたところなんだ\n頼む、助けてくれないか…？	특수한 장치인지 빠져나올 수도 없고… 감각?도 없어서 걱정되던 참이야.\n부탁한다, 도와주지 않을래…?	アルバルト	ruins clear	줄바꿈 보존
そうか！助かる！\nこの下に空間には、その辺の床板に怪しいところがあると思うんだが…	그래! 살았다!\n이 아래 공간으로 통하려면, 근처 바닥판 중 수상한 데가 있을 것 같은데…	アルバルト	ruins clear	문맥상 자연화
そう、そこから中に入って…	그래, 거기서 안으로 들어가서…	アルバルト	ruins clear	지시
ど、どんな感じだ？	어, 어떤 상태야?	アルバルト	ruins clear	당황
そ、そうか？下から押し出せそうか？	그, 그래? 아래에서 밀어낼 수 있을 것 같냐?	アルバルト	ruins clear	당황
あ、あぁ。足は動かせてる気はするんだけど、感触が無いんだ…	아, 그래. 다리는 움직이는 것 같은데 감각이 없어…	アルバルト	ruins clear	당황
な、何だ？なんかもごもご言ってるけど、何かトラブルか？	뭐, 뭐야? 뭔가 우물거리는 것 같은데, 문제라도 생겼냐?	アルバルト	ruins clear	걱정
…お、おい！なんだ！？どうしたんだ！？	…야, 야! 뭐야!? 무슨 일이야!?	アルバルト	ruins clear	걱정
おいおいおいおい！！さすがに心配になってきたぞ！？今そっちどうなってるんだ！？	야야야야!! 이쯤 되니 진짜 걱정되잖아!? 지금 거기 어떻게 된 거야!?	アルバルト	ruins clear	걱정
……いやーまいったまいった…\n俺としたことが…後輩に助けられちまうとはな…	……하, 이거 곤란했네…\n나답지 않게… 후배한테 도움을 받다니…	アルバルト	ruins clear	사후 대화
にしても驚いたぜ…まさかズボンまで溶かされてるとは…幸い何事も無くて良かったが…	그래도 놀랐다… 설마 바지까지 녹아 있을 줄은… 다행히 아무 일도 없어서 망정이지…	アルバルト	ruins clear	사후 대화
…ん？なんだその顔。何か言いたいことあるのか？	…응? 그 표정은 뭐야. 할 말이라도 있냐?	アルバルト	ruins clear	사후 대화
あー。いい、いい、分かってる！助けてもらったのには変わりはないからな！	아, 됐다 됐어, 알아! 도움받은 건 변함없으니까!	アルバルト	ruins clear	은혜 갚기
俺の恥ずかしい姿まで見せておいて、そのままってのは無いわな	내 부끄러운 모습까지 보여 놓고 그냥 넘어갈 순 없지.	アルバルト	ruins clear	은혜 갚기
なんか困ったことがあったら言えよ！この借りはきっちり返すからな！	뭔가 곤란한 일이 있으면 말해라! 이 빚은 확실히 갚을 테니까!	アルバルト	ruins clear	은혜 갚기
